# M2[GeV] M1[GeV] xsec[fb] uncertainty[fb]
 915  230     2.7151     0.0011
 915  255     2.7150     0.0011
 915  280     2.7150     0.0011
 915  305     2.7149     0.0011
 915  330     2.7149     0.0011
 915  355     2.7149     0.0011
 915  380     2.7148     0.0011
 915  405     2.7148     0.0011
 915  430     2.7147     0.0011
 915  455     2.7147     0.0011
 915  480     2.7147     0.0011
 915  505     2.7147     0.0011
 915  530     2.7146     0.0011
 915  555     2.7146     0.0011
 915  580     2.7146     0.0011
 915  605     2.7146     0.0011
 915  630     2.7146     0.0011
 915  655     2.7146     0.0011
 915  680     2.7146     0.0011
 915  705     2.7146     0.0011
 915  730     2.7147     0.0011
 915  755     2.7147     0.0011
 915  780     2.7148     0.0011
 915  805     2.7150     0.0011
 915  830     2.7155     0.0011
 915  855     2.7155     0.0011
 915  880     2.7087     0.0011
 915  905     2.7145     0.0010
 940    5     2.3024     0.0009
 940   30     2.3025     0.0009
 940   55     2.3024     0.0009
 940   80     2.3023     0.0009
 940  105     2.3023     0.0009
 940  130     2.3022     0.0009
 940  155     2.3022     0.0009
 940  180     2.3021     0.0009
 940  205     2.3021     0.0009
 940  230     2.3020     0.0009
 940  255     2.3020     0.0009
 940  280     2.3019     0.0009
 940  305     2.3019     0.0009
 940  330     2.3018     0.0009
 940  355     2.3018     0.0009
 940  380     2.3018     0.0009
 940  405     2.3017     0.0009
 940  430     2.3017     0.0009
 940  455     2.3017     0.0009
 940  480     2.3016     0.0009
 940  505     2.3016     0.0009
 940  530     2.3016     0.0009
 940  555     2.3016     0.0009
 940  580     2.3016     0.0009
 940  605     2.3016     0.0009
 940  630     2.3016     0.0009
 940  655     2.3015     0.0009
 940  680     2.3015     0.0009
 940  705     2.3016     0.0009
 940  730     2.3016     0.0009
 940  755     2.3016     0.0009
 940  780     2.3017     0.0009
 940  805     2.3018     0.0009
 940  830     2.3019     0.0009
 940  855     2.3023     0.0009
 940  880     2.3032     0.0009
 940  905     2.2961     0.0009
 940  930     2.2954     0.0009
 965    5     1.9533     0.0008
 965   30     1.9534     0.0008
 965   55     1.9533     0.0008
 965   80     1.9533     0.0008
 965  105     1.9532     0.0008
 965  130     1.9532     0.0008
 965  155     1.9531     0.0008
 965  180     1.9531     0.0008
 965  205     1.9530     0.0008
 965  230     1.9530     0.0008
 965  255     1.9529     0.0008
 965  280     1.9529     0.0008
 965  305     1.9528     0.0008
 965  330     1.9528     0.0008
 965  355     1.9528     0.0008
 965  380     1.9527     0.0008
 965  405     1.9527     0.0008
 965  430     1.9527     0.0008
 965  455     1.9526     0.0008
 965  480     1.9526     0.0008
 965  505     1.9526     0.0008
 965  530     1.9526     0.0008
 965  555     1.9525     0.0008
 965  580     1.9525     0.0008
 965  605     1.9525     0.0008
 965  630     1.9525     0.0008
 965  655     1.9525     0.0008
 965  680     1.9525     0.0008
 965  705     1.9525     0.0008
 965  730     1.9525     0.0008
 965  755     1.9525     0.0008
 965  780     1.9525     0.0008
 965  805     1.9526     0.0008
 965  830     1.9527     0.0008
 965  855     1.9528     0.0008
 965  880     1.9532     0.0008
 965  905     1.9540     0.0008
 965  930     1.9565     0.0008
 965  955     1.9534     0.0007
 990    5     1.6623     0.0007
 990   30     1.6623     0.0007
 990   55     1.6623     0.0007
 990   80     1.6622     0.0007
 990  105     1.6622     0.0007
 990  130     1.6621     0.0007
 990  155     1.6620     0.0007
 990  180     1.6620     0.0007
 990  205     1.6620     0.0007
 990  230     1.6619     0.0007
 990  255     1.6619     0.0007
 990  280     1.6618     0.0007
 990  305     1.6618     0.0007
 990  330     1.6618     0.0007
 990  355     1.6617     0.0007
 990  380     1.6617     0.0007
 990  405     1.6617     0.0007
 990  430     1.6616     0.0007
 990  455     1.6616     0.0007
 990  480     1.6616     0.0007
 990  505     1.6616     0.0007
 990  530     1.6615     0.0007
 990  555     1.6615     0.0007
 990  580     1.6615     0.0007
 990  605     1.6615     0.0007
 990  630     1.6615     0.0007
 990  655     1.6615     0.0007
 990  680     1.6615     0.0007
 990  705     1.6614     0.0007
 990  730     1.6614     0.0007
 990  755     1.6615     0.0007
 990  780     1.6615     0.0007
 990  805     1.6615     0.0007
 990  830     1.6615     0.0007
